sequence_accession_version	window_start	seed64
synthetic_k8_controls	0	62a12c52cfc7d980
synthetic_k8_controls	16	c526bc6f0e011943
synthetic_k8_controls	32	78b33db0383427dd
synthetic_debruijn_b44	0	7617abbbc3d8cfdb
synthetic_debruijn_b44	16	e17a60d8f891f9a8
synthetic_debruijn_b44	32	68ba5196ad9de1de
synthetic_debruijn_b44	48	8d7be51d37f96ffa
synthetic_debruijn_b44	64	2549d83cf095164d
synthetic_debruijn_b44	80	991ed10c05ff2648
synthetic_debruijn_b44	96	83bf9012e97b75ef
synthetic_debruijn_b44	112	27998dd3c72ea124
synthetic_debruijn_b44	128	88e858375a9b90c7
synthetic_debruijn_b44	144	59b291e95cb6da87
synthetic_debruijn_b44	160	b8a4df9169cdd740
synthetic_debruijn_b44	176	5fe6f2a15125bb3e
synthetic_debruijn_b44	192	7a6bdec04e9808e7
synthetic_debruijn_b44	208	14469e80fe300b05
synthetic_debruijn_b44	224	5d4014f80491bbb6
synthetic_debruijn_b44	240	2ef09e3b0222580a
synthetic_debruijn_b44	256	287ebac4f0df0605
synthetic_lcg_1024	0	0e0ef2dee9f27dea
synthetic_lcg_1024	16	fb2818d7649ddc45
synthetic_lcg_1024	32	5c50b3189f5d42d8
synthetic_lcg_1024	48	e6f7d55a8bd04401
synthetic_lcg_1024	64	29c701d94c26954c
synthetic_lcg_1024	80	96e885e89411ff54
synthetic_lcg_1024	96	3205fae642d794d6
synthetic_lcg_1024	112	f243f2640488d7d6
synthetic_lcg_1024	128	54e8a3692715c2ea
synthetic_lcg_1024	144	f871f9f9c294ec2f
synthetic_lcg_1024	160	5c11dfe8a1aa8d57
synthetic_lcg_1024	176	b8437277386e174a
synthetic_lcg_1024	192	320444b0141567b6
synthetic_lcg_1024	208	cbb36f7e06050e45
synthetic_lcg_1024	224	5561e47f6cfad7e8
synthetic_lcg_1024	240	fd78f312a8125b8a
synthetic_lcg_1024	256	d91fcc57443a319e
synthetic_lcg_1024	272	cbd678037d6123ed
synthetic_lcg_1024	288	a3c758d2916fdb45
synthetic_lcg_1024	304	fcd1b805685f8339
synthetic_lcg_1024	320	f00b95f306d8cf6d
synthetic_lcg_1024	336	f790d486c0c073ed
synthetic_lcg_1024	352	6cbfc2b12dd9fe53
synthetic_lcg_1024	368	b1158a83b97f4cdb
synthetic_lcg_1024	384	0301981f84836ad2
synthetic_lcg_1024	400	ef9e785cb631b200
synthetic_lcg_1024	416	f7d40e7a941a9fbc
synthetic_lcg_1024	432	d62b42ae541d1a56
synthetic_lcg_1024	448	7c18b92bcf305875
synthetic_lcg_1024	464	c7eb75e9747c9190
synthetic_lcg_1024	480	9b6ab19e73f4b252
synthetic_lcg_1024	496	2576602dc6583dc7
synthetic_lcg_1024	512	684e69ef8387b625
synthetic_lcg_1024	528	52f46ddce0d6ac15
synthetic_lcg_1024	544	95595803efcaeb7c
synthetic_lcg_1024	560	88855b76f146c154
synthetic_lcg_1024	576	3a56cb2a157fc6c5
synthetic_lcg_1024	592	5075670f07d53212
synthetic_lcg_1024	608	1771edc0e0096d24
synthetic_lcg_1024	624	0404a9b4abbed5c8
synthetic_lcg_1024	640	b306c2842664d76b
synthetic_lcg_1024	656	468d2f6a4db92743
synthetic_lcg_1024	672	9e0811a28bdcddcd
synthetic_lcg_1024	688	aae62b0a1524b2dc
synthetic_lcg_1024	704	5dbd0c16431b0e7a
synthetic_lcg_1024	720	772d6626d50f0ee2
synthetic_lcg_1024	736	8edaafab195eebd6
synthetic_lcg_1024	752	8e58afcd3e82b4c9
synthetic_lcg_1024	768	7d7bace51aea1732
synthetic_lcg_1024	784	b87ae50e1f712558
synthetic_lcg_1024	800	e82b8877b8d0d690
synthetic_lcg_1024	816	2df34de7ac5da534
synthetic_lcg_1024	832	722d6b3a1f637d56
synthetic_lcg_1024	848	c91211fb751287da
synthetic_lcg_1024	864	5736f24ffc04d3fb
synthetic_lcg_1024	880	57c97b8ad4c688d2
synthetic_lcg_1024	896	d8f11b56cc2bcb37
synthetic_lcg_1024	912	55a9a0671031f9db
synthetic_lcg_1024	928	c2237febb303c7fe
synthetic_lcg_1024	944	bb54d57d7be953bb
synthetic_lcg_1024	960	47b4c967afdabebf
synthetic_lcg_1024	976	8ec108bf67363458
synthetic_lcg_1024	992	70c7ca554a7878f4
synthetic_lcg_1024	1008	071f9ed98d4524c6
